"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","successful source transform","Source controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:27 GMT 2025","","V2 Source transform tests","",""
"","8","features regulations should be array","features tests","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","17","(am) failure batch transform","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Batch transform tests","",""
"","11","successful batching at router","Destination controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","Batch transform tests","",""
"","56","(am) successful batch transform","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Batch transform tests","",""
"","66","(pinterest_tag) failure router transform(partial failure)","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Router transform tests","",""
"","111","(pinterest) success scenario with multiplex events","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
"","7","features supportTransformerProxyV1 to be boolean","features tests","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:24 GMT 2025","","","",""
"","14","successful transformation at processor","Destination controller tests","Tue Jan 28 14:46:26 GMT 2025","passed","Tue Jan 28 14:46:26 GMT 2025","","Destination processor transform tests","",""
"","8","(mock source) v0 source transformation","Api tests with a mock source/destination","Tue Jan 28 14:46:24 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","8","(mock source) v1 source transformation","Api tests with a mock source/destination","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","10","(pinterest_tag) successful transform","CDK V2 api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","17","(webhook) successful source transform for source present in v1 and server providing v0 endpoint","Source api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","","",""
"","9","(webhook) success snceario for batch of input","Destination api tests","Tue Jan 28 14:46:25 GMT 2025","passed","Tue Jan 28 14:46:25 GMT 2025","","Processor transform tests","",""
